dataset,method,rejective,acc_kept,rejection_rate,conservative_overall_accuracy,ari_kept,nmi_kept,ami_kept
F_new,KMeans,否,99.95% ± 0.00%,0.00% ± 0.00%,99.95% ± 0.00%,0.389 ± 0.004,0.781 ± 0.002,0.781 ± 0.002
F_new,Birch,否,99.95% ± 0.00%,0.00% ± 0.00%,99.95% ± 0.00%,0.383 ± 0.001,0.780 ± 0.000,0.779 ± 0.000
F_new,Agglomerative,否,99.95% ± 0.00%,0.00% ± 0.00%,99.95% ± 0.00%,0.393 ± 0.008,0.783 ± 0.003,0.782 ± 0.003
F_new,any2,是,99.95% ± 0.00%,0.84% ± 0.59%,99.11% ± 0.58%,0.395 ± 0.005,0.784 ± 0.002,0.783 ± 0.002
F_new,all3,是,99.95% ± 0.00%,21.30% ± 4.10%,78.65% ± 4.10%,0.517 ± 0.042,0.827 ± 0.014,0.827 ± 0.014
F_new,KMeans distance rejection,是,99.94% ± 0.01%,21.30% ± 4.10%,78.65% ± 4.10%,0.410 ± 0.010,0.787 ± 0.004,0.786 ± 0.004
F_new,Random same-coverage rejection,是,99.95% ± 0.00%,21.30% ± 4.10%,78.66% ± 4.10%,0.388 ± 0.003,0.781 ± 0.002,0.781 ± 0.002
V_new,KMeans,否,96.18% ± 2.16%,0.00% ± 0.00%,96.18% ± 2.16%,0.691 ± 0.008,0.884 ± 0.007,0.884 ± 0.007
V_new,Birch,否,96.18% ± 2.21%,0.00% ± 0.00%,96.18% ± 2.21%,0.656 ± 0.027,0.879 ± 0.008,0.879 ± 0.008
V_new,Agglomerative,否,96.17% ± 2.23%,0.00% ± 0.00%,96.17% ± 2.23%,0.691 ± 0.015,0.886 ± 0.010,0.886 ± 0.010
V_new,any2,是,96.22% ± 2.18%,0.23% ± 0.28%,96.00% ± 2.34%,0.695 ± 0.005,0.886 ± 0.005,0.886 ± 0.005
V_new,all3,是,97.85% ± 1.88%,10.01% ± 3.88%,88.01% ± 2.99%,0.764 ± 0.027,0.915 ± 0.010,0.914 ± 0.010
V_new,KMeans distance rejection,是,97.02% ± 2.46%,10.01% ± 3.88%,87.26% ± 3.19%,0.796 ± 0.033,0.913 ± 0.012,0.913 ± 0.012
V_new,Random same-coverage rejection,是,96.18% ± 2.16%,10.01% ± 3.88%,86.52% ± 3.55%,0.690 ± 0.008,0.884 ± 0.007,0.884 ± 0.007
M_new_drop5_drop7,KMeans,否,87.86% ± 0.21%,0.00% ± 0.00%,87.86% ± 0.21%,0.522 ± 0.009,0.758 ± 0.006,0.756 ± 0.006
M_new_drop5_drop7,Birch,否,87.77% ± 0.44%,0.00% ± 0.00%,87.77% ± 0.44%,0.516 ± 0.004,0.753 ± 0.003,0.751 ± 0.003
M_new_drop5_drop7,Agglomerative,否,87.65% ± 0.29%,0.00% ± 0.00%,87.65% ± 0.29%,0.525 ± 0.010,0.759 ± 0.006,0.758 ± 0.006
M_new_drop5_drop7,any2,是,87.92% ± 0.13%,0.17% ± 0.20%,87.77% ± 0.26%,0.523 ± 0.009,0.758 ± 0.006,0.756 ± 0.006
M_new_drop5_drop7,all3,是,90.72% ± 1.33%,9.39% ± 4.51%,82.14% ± 2.89%,0.578 ± 0.035,0.782 ± 0.017,0.780 ± 0.017
M_new_drop5_drop7,KMeans distance rejection,是,89.25% ± 0.76%,9.39% ± 4.51%,80.84% ± 3.41%,0.545 ± 0.014,0.770 ± 0.009,0.768 ± 0.009
M_new_drop5_drop7,Random same-coverage rejection,是,87.85% ± 0.21%,9.39% ± 4.51%,79.60% ± 4.03%,0.522 ± 0.009,0.758 ± 0.006,0.756 ± 0.006
